1,surprised,1,1
2,surprising,1,0
3,surprise,1,0
4,bill,2,0
5,money,2,0
6,tip,2,1
7,themselves,3,0
8,them,3,1
9,their,3,0
10,a,4,0
11,any,4,0
12,some,4,1
13,wants,5,1
14,does want,5,0
15,want,5,0
16,despite,6,0
17,although,6,1
18,in spite,6,0
19,may,7,1
20,can,7,0
21,should,7,0
22,keen,8,1
23,fond,8,0
24,interested,8,0
25,mustn’t,9,0
26,haven’t to,9,0
27,don’t have to,9,1
28,parents’,10,1
29,parents,10,0
30,parent’s,10,0
31,I’m going to help,11,0
32,I’m helping,11,0
33,I will help,11,1
34,search,12,0
35,interview,12,1
36,talk,12,0
37,pay back it,13,0
38,pay it back,13,1
39,pay it back me,13,0
40,fit,14,1
41,go with,14,0
42,suit,14,0
43,that I invite,15,0
44,me to invite,15,1
45,that I invited,15,0
46,quieter,16,0
47,quietlier,16,0
48,more quietly,16,1
49,Please.,17,0
50,Here you are.,17,1
51,Help yourself to it.,17,0
52,too good,18,0
53,good enough,18,1
54,enough good,18,0
55,such,19,1
56,that,19,0
57,so,19,0
58,used to smoke,20,1
59,used to smoking,20,0
60,uses to smoke,20,0
61,arriving,21,0
62,entering,21,0
63,moving,21,1
64,gets riding,22,0
65,goes on a bike,22,0
66,goes cycling,22,1
67,will be translated,23,1
68,will translate,23,0
69,was translated,23,0
70,from,24,0
71,for,24,1
72,since,24,0
73,to explain,25,0
74,that I explain,25,0
75,explain,25,1
76,How,26,0
77,Who,26,0
78,What,26,1
79,Where,26,0
80,We're,27,0
81,I'm,27,0
82,You're,27,0
83,They're,27,1
84,Where are you from?,28,1
85,Where you are from?,28,0
86,Where from you are?,28,0
87,From where you are?,28,0
88,They,29,0
89,It,29,1
90,He,29,0
91,She,29,0
92,spell,30,0
93,you spell,30,0
94,do you spell,30,1
95,spell you,30,0
96,This,31,0
97,These,31,1
98,That,31,0
99,It,31,0
100,a ,32,0
101,an,32,1
102,two,32,0
103,desk,33,1
104,desks,33,0
105,a desk,33,0
106,an desk,33,0
107,I'm,34,0
108,We're,34,1
109,She's,34,0
110,They're,34,0
111,I isn't,35,0
112,I is not,35,0
113,I aren't,35,0
114,I'm not,35,1
115,Are they teachers?,36,0
116,Are you from Italy?,36,0
